Rank,Country,Region,Population,Colors,Area
43,Afghanistan,Asia,32890171,white|black,652864
135,Albania,Europe,2829741,black|red,28748
32,Algeria,Africa,44700000,white|red|green,2381741
185,Andorra,Europe,78015,yellow|red|blue,468
45,Angola,Africa,32097671,yellow|black|red,1246700
183,Antigua and Barbuda,Americas,99337,yellow|white|black|red|blue,442
31,Argentina,Americas,45808747,white|blue|yellow,2780400
134,Armenia,Asia,2963900,yellow|red|blue,29743
53,Australia,Oceania,25936056,red|white|blue,7692024
98,Austria,Europe,8976467,white|red,83871
90,Azerbaijan,Asia,10139196,white|red|blue|green,86600
170,Bahamas,Americas,393450,yellow|black|blue,13943
150,Bahrain,Asia,1501635,white|red,785
8,Bangladesh,Asia,172085080,red|green,148460
174,Barbados,Americas,288000,yellow|black|blue,430
96,Belarus,Europe,9349645,white|black|red,207600
82,Belgium,Europe,11601753,yellow|black|red,30528
168,Belize,Americas,430191,red|white|blue,22966
78,Benin,Africa,12506347,yellow|red|green,114763
160,Bhutan,Asia,756129,yellow|white|orange,38394
79,Bolivia,Americas,11797257,yellow|red|green,1098581
133,Bosnia and Herzegovina,Europe,3320954,yellow|white|blue,51209
142,Botswana,Africa,2410338,white|black|blue,581730
6,Brazil,Americas,214249293,yellow|white|blue|green,8515767
169,Brunei,Asia,429999,yellow|white|black|red,5765
110,Bulgaria,Europe,6520314,white|red|green,111002
58,Burkina Faso,Africa,21510181,yellow|red|green,274222
77,Burundi,Africa,12574571,white|red|green,27834
73,Cambodia,Asia,15552211,red|white|blue,181035
55,Cameroon,Africa,24348251,yellow|red|green,475442
37,Canada,Americas,38554846,red|white,9984670
166,Cape Verde,Africa,563198,yellow|white|red|blue,4033
114,Central African Republic,Africa,5633412,yellow|white|red|blue|green,622984
70,Chad,Africa,16818391,yellow|red|blue,1284000
60,Chile,Americas,19678363,red|white|blue,756102
1,China,Asia,1412600000,yellow|red,9596961
28,Colombia,Americas,51049498,yellow|red|blue,1141748
159,Comoros,Africa,758316,yellow|white|red|blue|green,1862
113,Congo,Africa,5657000,yellow|red|green,342000
120,Costa Rica,Americas,5163038,red|white|blue,51100
128,Croatia,Europe,3888529,red|white|blue,56594
83,Cuba,Americas,11181595,red|white|blue,109884
158,Cyprus,Asia,888005,yellow|white|green,9251
